Date,Headlines,Summary,Article
"March 13,2021",Paul Black's 3 thumb rules to pick great wealth creators,"Black says in order to become a successful growth investor, one should be optimistic about the future because optimists can conquer great heights.","Eminent portfolio manager Paul Black says the best way investors can ensure consistent wealth creation is by betting on good growth companies with superior culture that have a strong competitive advantage over peers.

Black says in order to become a successful growth investor, one should be optimistic about the future because optimists can conquer great heights.

“If you look back through history, optimists are the ones who ultimately get it right. Buffett says it all the time: never bet against America. I'd say never bet against great growth companies with superior cultures and the ones that are highly competitively advantaged,” Black said in an interview with CapitalAllocatorsPodcast.com.

Paul Black is the co-CEO and fund manager at the California-based WCM Investment Management, which manages over $42 billion in investor money. He joined the firm in 1989 and attributes its investing success to a lot of hard work and also good fortune.


How Black got interested in stocks
Black says he got interested in stocks at a very young age, and when he inherited some money from his grandfather he decided to invest them in the stock market.

“I bought 500 shares of a company called Eastery Fontaine South African gold miner, when I was in college. I would open up the Wall Street Journal every morning and when gold was going from $300 to $800 an ounce in that period from 1978 to 1982, I would literally look at the newspaper and say: ‘I'd make $500 a day owning 500 shares of this South African gold miner that was highly levered.’ And so that kinda got me hooked,” says he.

Black feels one can learn a lot about the basics of investment by reading all time investment classics from legendary investors. Black names Common Stocks and Uncommon Profits by Phil Fisher as one of his all-time favourites.

He prefers growth investing to value investing as he feels value investors are a little bit more pessimistic while growth investors tend to see the world more positively.


Keep learning from past mistakes
Black says investors should keep learning from past mistakes and use them as a source of strength to get better and better. “Anyone who doesn't believe that most of life is learning from your failures just doesn't quite get it or they're too young to get it,” says he.

Black says most rapidly growing companies look very attractive to buy, but investors should be wary as ultimately they can be massive destroyers of wealth.


Qualities of a great growth company
Black says if one just looks for high quality, wide-moat businesses selling cheaply, they run the risk of falling into value traps.

According to him, to find a great growth company, one needs to look at two things :- 


1.
They need to stay focused on the direction of the competitive advantage and pay attention to a moat that is growing

“Everybody's business is either getting stronger versus competitors or getting weaker. You want to be able to make the case, through pattern recognition and other tools around 'moat-typologies' as we classify it, that the company you're looking to invest in has a strong likelihood of growing its competitive advantage over the next five, 10 and 15 years. If you get that right, any valuation work you do is going to look ludicrously cheap five and 10 years out,” he says.

Black says it is essential to pay attention to the moat that is growing, as a shrinking moat can be dangerous.

""If we find a growing moat, how do we have any confidence it will keep growing? We found the number one way that convinces us of that is if the culture is aligned to the moat. We want to see behaviours that enhance the competitive position,” he says.


2. 
They need to put a huge premium on the corporation's culture

Black says investors should try to understand the DNA of a business and know what the core values are, and how they relate to the competitive advantage.

“The distinguishing characteristic in any investment has got to be determining what the core values are, what animates that culture and making sure that there is an alignment. When you're assessing a culture, the strongest companies are going to be where the cultures and values are aligned with the competitive advantage,"" says he.


How to assess a company’s culture
Black says while assessing the culture of a company, one of the best things to do is not just talk to the CEO or CFO, but to talk to people who have left on good terms.

“If you talk to people who used to work there and left on good terms, you usually get a pretty good picture. What you are doing is building a mosaic when you're going after culture. A lot of people don't do it because you can't quantify it, you can't put it in a box and score it, or scale and number ranking. You really have to build a mosaic,” says he.

Black says investors should talk to suppliers, vendors and competitors to find out which company they like and which one they do not.


Rising ROIC indicates growing competitive advantage
Black says a rising RoIC (Return on Invested Capital) is a great indication of growing competitive advantage, but the only problem with that is it is practically useless because the good news is already in the stock price long before it shows up in the financials.

“Most managers screen for a hurdle on the ROIC over the past five years. What we've found more valuable than just the ROIC level is the direction. There is a 1:1 correlation between the direction of the ROIC over a five-year time period and stock performance. If you break the market down into five quintiles, from the top quintile where they have the most rapidly rising ROIC to the bottom where they have declining ROICs, there is a 1:1 relationship between the best performing stocks on the top quintile and the poorest performing stocks on the bottom,” he says.

Investors should prefer to invest in a company whose ROIC is growing steadily over the years than a company having a high ROIC for a year and then getting stagnant over the next few years.


Do things differently to gain competitive advantage
Black says most analysts spend 95 per cent of their time crunching numbers, running DCF models, which has zero competitive advantage because there are thousands of analysts doing the same work.

So he feels one should do things that other people are not doing in order to get a massive competitive advantage.

Hold on to companies with great culture for long term
Black says it is not very easy to find companies with great cultures, which are aligned to their competitive advantage. If one is able to spot these kind of companies, then one should hold on to them for a long time.

""In investing, time is your friend. People who make a lot of money in investing are those who buy great businesses with expanding moats. They give them time to work for them over five, 10 and 15 years. All the people that have created a lot of wealth for themselves didn't do it in a week, or three months or six months. They did it over a generation,"" he says.


Manage the downside of your portfolio
Black said it is essential for investors to manage the downside of their portfolios. This, he feels, can be done by being right on the direction of competitive advantage more often than not, because in difficult times, if investors own companies that aren't constrained by the financial markets, they can allocate capital into the space their weaker competitors cannot.


Keep a positive attitude
Black says investors should ignore the pessimists and always keep a positive attitude while investing. 
“Humans are naturally wired to look at everything that can go wrong, and we tend to miss what is good that dominates most of the time,” he says.


Stay focused and ignore market chatter
Black says investors should keep their focus on what they are doing and avoid paying heed to the constant market chatter and noise around them.

“Constant chatter that goes on forces you to be short-term in your orientation, to make decisions in 3 and 6 months versus five and seven-year periods required,” he says.

Companies that build effective corporate cultures tend to be better performers, as they have a competitive advantage that sets them apart from the rest of the pack, giving them a wide moat.

Hence, it is no big surprise that businesses that continually widen their moat each year continue to perform for longer periods of time because they become harder and harder to compete against.


(Disclaimer: This article is based on Paul Black's various interviews and speeches.)

"
"March 13,2021","Dalal Street week ahead: Addition of fresh shorts, even PCR levels signal a technical bounce","In the coming week, the rise and volatility in the US bond yield will be watched closely; a stronger US dollar will continue to remain a cause of concern temporarily for the emerging markets as a whole.","In a truncated week, Indian equities failed to take any directional cues and the indices went all over the place in the four trading sessions, before ending the week with a modest gain.

The start of the week was volatile with Nifty trading in a wide range. However, the first part of the week saw a wider trading range of over 634 points, while the previous four session saw Nifty oscillate in a relatively narrower 416-point range.

Broadly speaking, Nifty continued to face resistance at the lower top formed on the daily charts, which has the 15,250-15,300 zone offering stiff resistance. Following a sharp correction seen on the last trading day of the week, the headline index ended with a net gain of 92.85 points, or 0.62 per cent.

Despite improving market breadth, Nifty confirmed its slippage into a broad-range consolidation. On the higher side, the 15,250-15,300 zone continued to act as stiff resistance. Unless this zone is taken out, Nifty will struggle to see any meaningful upside. Despite wide-ranging moves, volatility tapered down and INDIA VIX came off 15.07% to 21.71 level on a weekly basis.


In the coming week, the rise and volatility in the US bond yield will be watched closely; a stronger US dollar will continue to remain a cause of concern temporarily for the emerging markets as a whole.

Nifty has made a higher top and bottom on the weekly charts. Given the sharpness of the fall on the last trading session, there is a strong possibility of a technical pullback when we begin the new week. Nifty added fresh shorts in the system and the PCR across all expiries stood even at 1.02. This may aid a likely technical pullback next week. The 15,180 and 15,300 levels are likely to act as key resistance points while supports will come in at 14,900 and 14,850 levels.

Regardless of the market direction, Nifty trading range is likely to widen in the coming days. The weekly RSI stood at 68.24; it remains neutral and does not show any divergence against the price. The weekly MACD remains bullish and has gone above the Signal Line. A candle with a long upper shadow occurred. Such candles, if they emerge near the high point, may have the potential to disrupt the ongoing trend.

However, there are larger possibilities of continued consolidation.

Pattern analysis of the weekly charts showed Nifty has slipped into a broad-range consolidation with the immediate resistance placed in the 15,250-15,300 zone. Though the immediate support remains in the 14,850-14,900 zone, the fastest 20-week MA is much away from the current level at 13,855. This shows the extent to which the Nifty has deviated from its mean. The wider-than-normal Bollinger Bands indicates that even if there are no major corrective move, the index may well stay in a broadly defined range and go through some wide-ranged consolidation in the coming days.

All and all, the broader market has continued to outperform relatively. The overall market breadth is improving, and this is a good sign. Also, a good number of fresh shorts have been added to the system. However, regardless of the shorts that may lend support in the form of short-covering from lower levels, fresh buying in the cash market would be an absolute necessity.

Apart from any short covering-led bounce, it would be important to see if fresh buying takes place. The market has become highly stock specific in nature. As mentioned in the previous weekly note, we will see pockets of stock-specific outperformances and the defensive plays will continue to remain on the forefront. We recommend not chasing any particular sector as a theme, but staying highly stock-specific and selective in the approach.

With the rupee depreciating, IT may well show improved relative strength along with auto, energy, infrastructure and select midcap stocks. While staying light on the leveraged exposure, a cautious approach with vigilant profit protection at higher levels is advised for the coming week.

In our look at Relative Rotation Graphs®, we compared various sectoral indices against CNX500 (Nifty500 Index), which represents over 95% of the free-float market-cap of all the listed stocks.



A review of the Relative Rotation Graphs (RRG) threw up some interesting insights. Nifty PSE and Infrastructure indices have entered the leading quadrant. Nifty Auto and Commodities groups also continue to be in the leading quadrant along with Nifty MidCap100 Index, while continues to maintaining its relative momentum. The Smallcap Index is also in the leading quadrant, but appears to be paring its relative momentum. However, these groups will continue to relatively outperform the broader Nifty500 Index.

Nifty Realty Index has slipped inside the weakening quadrant, while Nifty Bank, Services Sector and IT indices are now in the weakening quadrant. The Metal Index is seen rotating back to the leading quadrant, as it shows a sharp improvement in relative momentum against the broader market.

Nifty Media, Pharma, FMCG and Consumption indices continued to languish inside the lagging quadrant. They are rotating in a south-westerly direction, and these groups are likely to relatively underperform the broader market over the coming days.

Nifty Energy Index remains in the improving quadrant. However, it is making a steady north-easterly rotation and is expected to continue posting a resilient show in the coming week.

Important Note: RRGTM charts show the relative strength and momentum for a group of stocks. In the above chart, they show relative performance against Nifty500 index (broader market) and should not be used directly as buy or sell signals.


(Milan Vaishnav, CMT, MSTA is a Consultant Technical Analyst and founder of Gemstone Equity Research & Advisory Services, Vadodara. He can be reached at


milan.vaishnav@equityresearch.asia)


"
"March 13,2021",World market themes for the week ahead,The central bank which pioneered yield curve control faces one of its toughest policy reviews on March 18-19.,"Following are five big themes likely to dominate thinking of investors and traders in the coming week.


1/ TIME TO PUSH BACK?
After a stunning selloff in U.S. Treasuries took benchmark 10-year yields above 1.6%, the highest in a year, the March 16-17 Federal Reserve meeting will be watched closely for hints policymakers are concerned about yields, asset bubbles and inflation.

A repricing of market interest rate expectations to anticipate a Fed hike as early as late 2022 is at odds with the Fed’s aim of keeping rates unchanged until the end of 2023. The Fed has appeared unperturbed so far by higher bond yields, but it may feel it’s time to push back against those rate-hike bets.

It is also expected to release fresh forecasts on economic growth as vaccines are distributed.


2/ MIXING MESSAGES AT BOJThe central bank which pioneered yield curve control faces one of its toughest policy reviews on March 18-19.

The Bank of Japan will likely insert clearer guidance in its statement on what it sees as an acceptable level of fluctuation in long-term interest rates, according to sources -- a sign it won’t tolerate rises that hurt the economy.

Governor Haruhiko Kuroda and his deputy Masayoshi Amamiya have sent mixed messages on loosening the 10-year yield target band. Higher yields would acknowledge a global move higher but might spur unintended worries about policy tightening.

Given a nascent economic recovery, the BOJ may even suggest scope for more negative short-term rates. In the midst of this, financial year-end flows back into yen are accelerating. A currency rally will add to the BOJ’s headaches.


3/BOE, NORGES BANK TOOThursday brings central bank meetings in Britain and Norway.

The Bank of England is not seen unveiling additional policy easing despite concerns over the recent spike in borrowing costs.

Instead, any action such as upping the BoE’s bond-buying firepower is likely to come later in the year - perhaps in May, when the next set of economic forecasts emerge.

With first-quarter GDP data expected to show a near 4% drop on the back of pandemic-linked lockdowns and Brexit disruptions, economic recovery is expected to be gradual. A majority of economists polled by Reuters expect GDP will take two years to return to pre-COVID-19 levels.

Norges Bank is also tipped to keep rates unchanged but it may adopt a much more hawkish tone given signs of economic recovery in Norway, especially in housing.


4/EMERGING RATES ON RISEIn emerging markets, meanwhile, the only way for interest rates to go may be up. That’s the message we might hear from several central banks over coming days.

Most have faced rising inflation pressures for some time but now they are also confronted by higher U.S. Treasury yields, which raise borrowing costs for everyone. For oil importers, Brent crude prices above $70 is an added problem -- all this while economies are still reeling from the coronavirus impact.

Central banks in Brazil and Turkey -- meeting on Wednesday and Thursday respectively -- are most likely to raise rates. Markets will also find out on Thursday if Indonesia’s rate-cutting cycle has come to an end.

Egypt meanwhile is seen standing pat on Thursday even in the face of rising commodity prices and inflation nudging higher.


5/ELECTIONSIn the euro area, investors’ focus turns to politics.

The German states of Baden-Wuerttemberg and Rhineland-Palatinate hold elections on Sunday that are seen as a key test of voter sentiment ahead of national polls in September which will determine who succeeds Angela Merkel as Chancellor.

The Baden-Wuerttemberg vote is one to watch, since a face mask procurement scandal has muddied the waters for Merkel’s Christian Democrats, whose leader Armin Laschet hopes to become the next Chancellor.

Then there are Dutch national elections on March 15-17, for which authorities are relaxing evening curfew rules introduced to combat the spread of COVID-19. Polls suggest Prime Minister Mark Rutte’s conservative VVD will remain the largest party, although public support has declined recently over his coronavirus policies.

"
"March 13,2021",Did AMFI do a U-turn on Sebi’s AT1 bond rule for mutual funds?,Industry watchers and investor protection groups agree that the Sebi circular was in the investor interest. ,"While the Finance Ministry’s ‘request’ to Sebi to withdraw the new valuation rule for perpetual bonds surprised many, what intrigued industry watchers more was mutual fund body Amfi's U-turn to side with the markets regulator on an issue, which the industry had objected to when the rules were first notified on Wednesday, March 10.

Two days later on Friday, the industry body said it fully supports the capital markets regulator’s new rule, which puts a cap on mutual fund exposure to perpetual bonds. In a statement, the Association of Mutual Funds in India said: ""it fully supports the need and spirit of the circular in capping exposure to perpetual bonds.""

Industry watchers and investor protection groups agree that the Sebi circular was in the investor interest. It was, in a way, follow-up action to an earlier move in which the markets regulator had in October 2020 banned direct purchase of perpetual or AT1 bonds of banks by retail investors.

This action followed a fiasco involving YES Bank, which had allegedly sold these unsecured bonds to retail investors in the guise of higher interest-bearing bank fixed deposits and then wrote them off when the bank's finances came under stress.

For the uninitiated, banks issue these AT1 bonds -- also called perpetual bonds -- to raise core capital. They pay very attractive rates of interest, but are very risky as the issuer can avoid paying interest on them if its finances come under stress and can even totally extinguish them if it goes belly up.

The size of total outstanding AT-1 bonds in the market is estimated at Rs 90,000 crore, out of which the mutual fund industry holding is pegged at Rs 35,000 crore. Besides mutual funds, banks, corporates and high net worth individuals invest in this product.

Sebi's new rule caps mutual fund exposure to such bonds at 10 per cent of total assets, limits it at 10 per cent of assets for a single scheme and at 5 per cent of total assets in case of bonds from a single issuer. The order said if a mutual fund scheme currently holds such investments exceeding these limits, they will be grandfathered, meaning they will not need to sell them, but will not buy more till the limit is reached.

Fund houses by and large agree to these rules, and insist that most schemes hold such bonds within the stipulated limits.

The issue was largely with the new bond valuation rule that Sebi ordered, which said the tenure of such bonds will be considered as 100 years as they are perpetual. This also implies that closed-ended schemes will not be able to invest in these bonds because they will not have such a long tenure.

The fear was that this rule, if implemented, would drive informed institutional investors to withdraw large sums from debt funds, which may then trigger a run on such schemes.

Besides, as mutual funds adjust to the new valuation rule, it would result in a hit on NAVs, leading to losses for investors, denting sentiment and trigger redemptions. Some industry estimates projected a Rs 4,000-5,000 crore hit on the industry. This was also expected to create a turmoil in the bond market.

While analysts and industry watchers feel the FinMin move may have been triggered by concerns over the impact that the 100-year rule can have on banks, in particular, and the bond market as a whole, Amfi's posturing surprised many.

ETMarkets contacted the mutual fund body for further clarification on the issue, but is yet to receive any response.

An industry leader, who spoke on the condition of anonymity, said Sebi did hold discussions on this in the mutual fund committee in which Amfi has representations, and thus, they were party to this. ""However, it seems, there was no clarity on the valuation part and it was left to Sebi to decide,"" he said.

The fine print of the Amfi release has a hint of this.

It shows while the industry body, in principle, backs the Sebi move to derisk the mutual fund industry vis-à-vis this particular instrument given the experiences of the recent past with the Franklin Templeton episode and the IL&FS fiasco, it has actually kept mum on the 100-year valuation rule.

The release puts forth Amfi’s view on the valuation point tacitly, saying most trades in perpetual bonds happen on a yield-to-Call basis. “This is based on the established market convention, locally as well as globally, that the issuer will exercise the Call option on the due date,” it said.

Amfi seems to be calling for a new valuation mechanism for this, to be formulated jointly by Sebi and Amfi. “Market-determined price is the best price to arrive at a valuation, which is fair to investors, who are subscribing, redeeming or staying invested in a mutual fund scheme. Amfi under guidance from Sebi has worked over the years to create a robust valuation process. Two independent agencies can administer the process to ensure industry-wide fair and common valuation for the debt portfolio across mutual funds,"" the release states. 

In a television interview, Amfi Chairman Nilesh Shah said the industry body is in agreement with Sebi that there should be restrictions on exposure to the perpetual bonds. He insisted most mutual fund schemes as on date hold such bonds below the limit prescribed by Sebi.

""The MF industry is fully committed to the Sebi guideline on valuation that market prices should get precedence. As much as 60-80 per cent of what mutual funds hold today get traded on a regular basis, and market prices should get precedence there. For the 15-20 per cent of the portfolio, we have to fix a model to derive valuation,"" he said.

Shah said the problem is narrower than what was made out to be. ""The market should develop, but at the same time we have to ensure transparency, investor protection and correct & fair valuation of these instruments so that investors get fair treatment,"" he said.

He claimed there was neither any increase in credit risk nor liquidity risk in the perpetual bond market, as there was no material move in interest rates or panic selloff on Friday.

A cursory glance at mutual fund industry’s AT-1 holdings shows select credit risk funds have maximum exposure to these bonds.

Some dynamic bond funds were also found to be having sizeable exposure as were a few banking and PSU funds.

"
"March 13,2021",Indian economy looking at 'V-shaped' recovery: Anurag Thakur,"""India is already looking at 'V-shaped' recovery. Along with the green shoots in various sectors, in the month of February, FPI inflows were Rs 25,787 crore,"" Thakur said at a virtual conclave organised by the Institute of Actuaries of India.","There are green shoots visible in various sectors of the economy and the country is already looking at a 'V-shaped' recovery, Minister of State for Finance and Corporate Affairs Anurag Thakur said on Saturday. ""India is already looking at 'V-shaped' recovery. Along with the green shoots in various sectors, in the month of February, FPI inflows were Rs 25,787 crore,"" Thakur said at a virtual conclave organised by the Institute of Actuaries of India. 

 After two consecutive quarters of contraction, the country's gross domestic product (GDP) entered into a positive territory with a growth of 0.4 per cent in the October-December quarter of the current fiscal, according to the data released by the National Statistical Office (NSO) in February. 

 Thakur said the country' foreign exchange reserves, which have been steadily increasing over the last few months, had touched all time high at USD 590 billion in January 2021. 

 He said the accretion to the forex reserves in the last eight month was USD 100 billion. 

 ""These are signs of confidence that the global funds and investors look at India as a destination to invest and they are bullish about India's growth story,"" Thakur added.
"
"March 13,2021",Titan completes exit from Montblanc JV,Titan held 49 per cent equity stake in Montblanc India Retail Private Limited. ,"NEW DELHI: Tata group firm Titan on Friday said it has completed its exit from joint venture Montblanc India Retail, which operates retail boutiques in the country for Montblanc products. Last year on October 8, Titan had announced its exit from the five-year joint venture with the luxury firm.

 ""... we hereby inform you that, on 12th March 2021, the Company has completed its exit from Montblanc India Retail Private Limited (MB India). Consequently, MB India ceases to be an associate/ JV Company of the Company with effect from March 12, 2021,"" Titan said in a regulatory filing. 

 Titan held 49 per cent equity stake in Montblanc India Retail Private Limited.
"
"March 13,2021",Is ELSS really a good choice as a tax-saving investment?,"In recent years, it can be seen that many taxpayers have turned to ELSS schemes to avail of tax benefits. In this article, we will discuss different aspects of tax-saving ELSS or equity-linked savings schemes of mutual funds.","There are a variety of options to choose from in mutual fund schemes, based on one's risk appetite and financial goals. If one is looking for investment opportunities that can help them generate wealth, get regular returns, and/or save taxes, then ELSS becomes a great investment choice.

In recent years, it can be seen that many taxpayers have turned to ELSS schemes to avail of tax benefits. In this article, we will discuss different aspects of tax-saving ELSS or equity-linked savings schemes of mutual funds.

ELSS funds are equity-linked funds that invest a major portion of their corpus into equity or equity-related instruments. They are also called tax-saving schemes since they offer tax exemption from your annual taxable income under Section 80C of the Income-Tax Act. 

Most ELSS funds invest across a diverse group of companies ranging from smallcaps to largecaps from across sectors. This allows one to add an element of diversification to the investment portfolio. Also, ELSS schemes have a mandatory lock-in period of three years. So, any investment made in ELSS funds will be locked for three years and investors can redeem their units only after the lock-in gets over.

ELSS funds are prone to the inherent volatility of the equity market, but have the potential to generate superior returns in the long term. The volatility risk can be mitigated by investing in ELSSes through the SIP mode. While you can invest a lumpsum amount in an ELSS scheme, most investors prefer the SIP mode as it allows them to invest in small amounts and avail tax benefits along with the opportunity to create wealth.

If your aim is to create wealth by investing in ELSS funds, the selection of the right scheme holds the key. Investors should make the selection based on a scheme’s consistent performance over the long term.

Make sure there is proper diversification across marketcaps and industries. Before you make a decision on which instrument to use for your tax saving, make sure you have outlined your financial goals and invest accordingly.

"
"March 13,2021",Wall Street week ahead: Energy shares look for next spark as investors eye recovering economy,"With a gain of over 80 per cent in that time, the S&P 500 energy sector is back to levels last seen in February 2020, when the stock market began its plunge as the Covid-19 outbreak took its toll on the economy.","By Lewis Krauskopf

 NEW YORK: Investors betting on U.S. energy shares have enjoyed a blistering rally, as the sector leads a move into value and economically sensitive stocks that has gripped the equity market. How much further that run continues could hinge on the success of the economic recovery, supply dynamics in oil markets and whether companies can stay disciplined on spending.

 The near doubling in the price of crude has helped make shares of oil and gas companies - for years a losing bet - one of the best performing areas of the market, with outsized gains in the stocks of companies such as oil major Exxon Mobil Corp and Diamondback Energy Inc, which have surged 89 per cent and 231 per cent, respectively, since early November.

 With a gain of over 80 per cent in that time, the S&P 500 energy sector is back to levels last seen in February 2020, when the stock market began its plunge as the Covid-19 outbreak took its toll on the economy.

 ""Shares are being bid up because there are expectations for greater demand,"" said Michael Arone, chief investment strategist for State Street Global Advisors. ""We need to see the follow-through.""

 The outlook for energy shares is at the center of a number of market themes, including how long the economic ""reopening"" trade can last, whether energy and other value stocks can continue outperforming tech and growth shares and if the market is primed for a potential rise in inflation.

 With the benchmark S&P 500 nearing the 4,000 level for the first time, the health of the economy, the pace of inflation and a recent rise in bond yields are expected to be hot topics when the U.S. Federal Reserve meets on Tuesday and Wednesday.

 Ample crude supply that weighed on global oil prices and concerns over a push toward ""green energy"" were among the factors pulling down energy stocks for most of the past decade. Oil prices plummeted in the coronavirus-fueled downturn amid global travel restrictions and shutdowns but roared higher in recent months, buoyed by breakthroughs in vaccines against Covid-19.

 Recent data has shown signs of an economic recovery continuing to gain momentum. The number of Americans filing new claims for jobless benefits dropped to a four-month low last week, while U.S. consumer sentiment improved in early March to its strongest in a year.

 Prices for U.S. crude are up 35 per cent year-to-date.

 Investors are watching supply dynamics as another catalyst for crude prices and energy stocks.

 The Organization of the Petroleum Exporting Countries and its allies last year cut output substantially as demand collapsed due to the pandemic. The group earlier this month agreed to extend most output cuts into April.

 Any efforts by President Joe Biden's administration to regulate U.S. drilling could support prices by keeping supply in check, investors said.

 ""There is more likely to be an aggressive regulatory regime, which would rein in supply, which would be a positive for commodity prices,"" said Burns McKinney, portfolio manager at NFJ Investment Group.

 Investors said they want to see whether companies are spending on new drilling, which could oversupply the market and eventually weigh on prices, or pay down debt and bolster dividends.

 Five international oil majors cut their capital spending by about 20 per cent on average last year to $80 billion and are expected in aggregate to generally maintain that spending level in 2021, according to Jason Gabelman, senior energy equity research analyst at Cowen.

 Energy companies ""need to maintain their discipline, they need to stick to capital budgets that are constrained and not drill as much and give investors confidence that this is not going to be a short-lived cycle,"" said Christian Ledoux, director of investment research at CAPTRUST.

 Setbacks in fighting the virus could undercut the reopening trade and energy shares along with it. Such a scenario risks playing out in Europe, where a more contagious variant of the coronavirus has pushed Italy and France to impose fresh lockdowns.

 Another factor is how quickly travel might rebound to pre-pandemic levels.

 ""You may see reopening and people driving more and spending more on commerce, but ... if people are traveling less globally, that is going to result in oil demand not fully recovering to where it was,"" Gabelman said. 

"
"March 13,2021",Citi turns defensive as valuations and international commodity prices soar,"Citi has a target of 14,800 on the Nifty by December this year, which implies a minor downside from current levels. The Nifty closed at 15,030.95 on Friday.","Mumbai: Citigroup has tweaked its model portfolio to be more defensive given elevated valuations and multiple risks, including high commodity prices. The firm has reallocated weightage from financials to defensives such as consumer staples, utilities, IT, and pharma. It has removed IndusInd Bank from the portfolio after outperformance in the last few months.

“Continued rise in commodity prices + elevated FY22 estimated consensus growth expectations with valuations at over 21 times FY22 estimated EPS are the risks,” said Citi’s Surendra Goyal and Vijit Jain.

Citi has a target of 14,800 on the Nifty by December this year, which implies a minor downside from current levels. The Nifty closed at 15,030.95 on Friday.

Citi said oil prices remain in a cycle, but a super-cycle is unlikely.

However, the prospects for a super-cycle in copper and aluminium are real, said Citi which is overweight on metals in its model portfolio by 60 basis points.

History suggests that rising commodity prices are not necessarily detrimental to corporate earnings, growth is possibly the more important variable as it allows pricing power and collapse in commodity prices have tended to push margins higher. The firm said post Covid-19 recovery trends, beyond the base effect, might be the most crucial.

"
"March 13,2021","Finance Ministry writes to Sebi, 'requests' agency to withdraw perpetual bond rule",The ministry's objection is to the rule that requires debt mutual funds to value perpetual bonds as a 100-year instrument from April 1. Fund managers too had raised concerns over this. ,"The finance ministry ""requested"" the Securities and Exchange Board of India (Sebi) Friday to withdraw the part of its Wednesday circular that changed the rules followed by mutual funds to value perpetual bonds. The capital market regulator hadn't responded to the suggestion at press time, but is expected to review the rules before they take effect on April 1, said people with knowledge of the matter. The move by the ministry was a rare instance of such a government intervention being made public, experts said.

The ministry's objection is to the rule that requires debt mutual funds to value perpetual bonds as a 100-year instrument from April 1. Fund managers too had raised concerns over this.

""Considering the capital needs of banks going forward and the need to source the same from the capital markets, it is requested that the revised valuation norms to treat all perpetual bonds as 100-year tenor be withdrawn,"" said an office memorandum to the Sebi chairman.

With the regulator yet to respond, the undertone is nervous.

Sebi is expected to review the new rules after examining the views it's received on the issue so far. The regulator is likely to issue a revised circular before April 1, when the new rules on valuation of perpetual bonds are to take effect.

""The steps Sebi has taken are in the interest of investors. Some stakeholders may have certain concerns but Sebi's mandate is to protect investors,"" said a person close to the development. Mutual fund industry officials and lawyers said Sebi might aim for a compromise to resolve the concerns of the market and the government.




Letter highlighted impact on yields, NAVs, fund raising
""It appears to be a recommendation from the government and not a directive,"" said Sandeep Parekh, founder, Finsec Law Advisors, and a former executive director at Sebi.

On Friday morning, yields on perpetual bonds - especially those belonging to smaller issuers - shot up in reaction to the circular. Some bond traders were seeking yields 20-30 basis points higher, while verbal demands had risen to as much as 80 basis points before word spread that finance ministry had stepped in. A basis point is 0.01 percentage point.

Perpetual bonds of SBI yielded 7.53%, those of Canara Bank were at 8.20%, South Indian Bank at 14.06%. Bonds of Bank of Baroda and Rural Electrification Corp (REC) also changed hands at 7.69-8.13% during the day. Yields were up by about 10 basis points for reported deals.

Fund managers said attempts to sell the perpetual bonds of smaller issuers in morning trade were unsuccessful in the absence of liquidity. Many mutual funds were understood to have sold some of their liquid bonds to be ready for any possible redemption pressure in schemes that hold perpetual bonds. Industry executives said redemption requests were modest on Friday with the finance ministry note easing frayed sentiment.

""Mutual funds were building a cash chest by selling some liquid securities. Nobody wants to be in a situation like what happened during Franklin Templeton,"" said a senior mutual fund industry participant.

The finance ministry letter highlighted the adverse impact of the rule on bond yields, net asset value (NAV) of debt mutual funds and fund raising by public sector banks.

""Panic redemption by mutual funds would impact overall corporate bond market as MFs may resort to selling other bonds to raise liquidity in debt schemes,"" the letter said. ""This could lead to higher borrowing costs by corporates at a time when economic recovery is still nascent.""

Mutual funds are among the biggest holders of perpetual bonds. They currently hold more than Rs 35,000 crore of the outstanding Additional Tier 1 issuances of about Rs 90,000 crore, the letter said.

The debt scheme categories that hold this instrument include banking and PSU funds, dynamic bond funds and credit-risk funds among others with up to five-year maturity. Hybrid funds also hold such bonds.

Perpetual bonds have a five-year call option, which allows holders to exit instead of staying invested permanently. Fund managers had opposed the latest Sebi rule as it required debt schemes to value this security as a 100-year paper instead of a valuation assigned to a shorter maturity. This could result in yields on perpetual bonds shooting up and prices falling, causing losses to holders. Bond yields and prices move in opposite directions.

With the capital market regulator changing the valuation rule, bond traders were expecting a surge in yields of as much as 100 basis points. Banks, major issuers of perpetual paper, would have faced higher costs in seeking to raise funds through the avenue. Banks were said to have been preparing to approach the Reserve Bank of India seeking relaxation of the norms. They have issued nearly 93% of total outstanding perpetual bonds, pegged at Rs 1.46 lakh crore, show data compiled by JM Financial.

"
